given_word,real_syllabification,attempted_syllabification,lev_dist,true_syl_count,attempted_syl_count
crawler,no-vem-ber,no-vem-ber,0,3,3
frictionless,no-vem-ber,no-vem-ber,0,3,3
quinine,no-vem-ber,no-vem-ber,0,3,3
prise,no-vem-ber,no-vem-ber,0,3,3
cowardly,no-vem-ber,no-vem-ber,0,3,3
grim,no-vem-ber,no-vem-ber,0,3,3
understand,no-vem-ber,no-vem-ber,0,3,3
wheelbarrow,no-vem-ber,no-vem-ber,0,3,3
manhole,no-vem-ber,no-vem-ber,0,3,3
mobility,no-vem-ber,no-vem-ber,0,3,3
polluter,no-vem-ber,no-vem-ber,0,3,3
superficiality,no-vem-ber,no-vem-ber,0,3,3
fussy,no-vem-ber,no-vem-ber,0,3,3
salubrious,no-vem-ber,no-vem-ber,0,3,3
batman,no-vem-ber,no-vem-ber,0,3,3
uncountable,no-vem-ber,no-vem-ber,0,3,3
aid,no-vem-ber,no-vem-ber,0,3,3
transmogrify,no-vem-ber,no-vem-ber,0,3,3
flounder,no-vem-ber,no-vem-ber,0,3,3
ectoplasm,no-vem-ber,no-vem-ber,0,3,3
vex,no-vem-ber,no-vem-ber,0,3,3
reapply,no-vem-ber,no-vem-ber,0,3,3
cosmetic,no-vem-ber,no-vem-ber,0,3,3
stuntman,no-vem-ber,no-vem-ber,0,3,3
distended,no-vem-ber,no-vem-ber,0,3,3
cessation,no-vem-ber,no-vem-ber,0,3,3
underbelly,no-vem-ber,no-vem-ber,0,3,3
lemma,no-vem-ber,no-vem-ber,0,3,3
frolicsome,no-vem-ber,no-vem-ber,0,3,3
multiplication,no-vem-ber,no-vem-ber,0,3,3
dissolve,no-vem-ber,no-vem-ber,0,3,3
condor,no-vem-ber,no-vem-ber,0,3,3
clarify,no-vem-ber,no-vem-ber,0,3,3
heel,no-vem-ber,no-vem-ber,0,3,3
proxy,no-vem-ber,no-vem-ber,0,3,3
patient,no-vem-ber,no-vem-ber,0,3,3
impingement,no-vem-ber,no-vem-ber,0,3,3
drawer,no-vem-ber,no-vem-ber,0,3,3
barrack,no-vem-ber,no-vem-ber,0,3,3
perpetual,no-vem-ber,no-vem-ber,0,3,3
speedboat,no-vem-ber,no-vem-ber,0,3,3
smudge,no-vem-ber,no-vem-ber,0,3,3
voile,no-vem-ber,no-vem-ber,0,3,3
clap,no-vem-ber,no-vem-ber,0,3,3
outstay,no-vem-ber,no-vem-ber,0,3,3
easy,no-vem-ber,no-vem-ber,0,3,3
belligerent,no-vem-ber,no-vem-ber,0,3,3
keenness,no-vem-ber,no-vem-ber,0,3,3
bedded,no-vem-ber,no-vem-ber,0,3,3
sander,no-vem-ber,no-vem-ber,0,3,3
hydraulics,no-vem-ber,no-vem-ber,0,3,3
hawk,no-vem-ber,no-vem-ber,0,3,3
carnal,no-vem-ber,no-vem-ber,0,3,3
delimit,no-vem-ber,no-vem-ber,0,3,3
immobile,no-vem-ber,no-vem-ber,0,3,3
string,no-vem-ber,no-vem-ber,0,3,3
fir,no-vem-ber,no-vem-ber,0,3,3
imperative,no-vem-ber,no-vem-ber,0,3,3
fin,no-vem-ber,no-vem-ber,0,3,3
interdenominational,no-vem-ber,no-vem-ber,0,3,3
patisserie,no-vem-ber,no-vem-ber,0,3,3
limit,no-vem-ber,no-vem-ber,0,3,3
owe,no-vem-ber,no-vem-ber,0,3,3
antipathy,no-vem-ber,no-vem-ber,0,3,3
war,no-vem-ber,no-vem-ber,0,3,3
orbiter,no-vem-ber,no-vem-ber,0,3,3
heliosphere,no-vem-ber,no-vem-ber,0,3,3
jerked,no-vem-ber,no-vem-ber,0,3,3
litigant,no-vem-ber,no-vem-ber,0,3,3
handpicked,no-vem-ber,no-vem-ber,0,3,3
toy,no-vem-ber,no-vem-ber,0,3,3
hickory,no-vem-ber,no-vem-ber,0,3,3
unction,no-vem-ber,no-vem-ber,0,3,3
forget,no-vem-ber,no-vem-ber,0,3,3
illustrator,no-vem-ber,no-vem-ber,0,3,3
reservoir,no-vem-ber,no-vem-ber,0,3,3
wifely,no-vem-ber,no-vem-ber,0,3,3
bacon,no-vem-ber,no-vem-ber,0,3,3
hawker,no-vem-ber,no-vem-ber,0,3,3
lawbreaker,no-vem-ber,no-vem-ber,0,3,3
needy,no-vem-ber,no-vem-ber,0,3,3
evocation,no-vem-ber,no-vem-ber,0,3,3
reaction,no-vem-ber,no-vem-ber,0,3,3
outrage,no-vem-ber,no-vem-ber,0,3,3
promise,no-vem-ber,no-vem-ber,0,3,3
sandalwood,no-vem-ber,no-vem-ber,0,3,3
stealer,no-vem-ber,no-vem-ber,0,3,3
granddaughter,no-vem-ber,no-vem-ber,0,3,3
classless,no-vem-ber,no-vem-ber,0,3,3
excision,no-vem-ber,no-vem-ber,0,3,3
pandas,no-vem-ber,no-vem-ber,0,3,3
cryptic,no-vem-ber,no-vem-ber,0,3,3
roundabout,no-vem-ber,no-vem-ber,0,3,3
syllabic,no-vem-ber,no-vem-ber,0,3,3
taxi,no-vem-ber,no-vem-ber,0,3,3
trilby,no-vem-ber,no-vem-ber,0,3,3
lurk,no-vem-ber,no-vem-ber,0,3,3
cuticle,no-vem-ber,no-vem-ber,0,3,3
hopefully,no-vem-ber,no-vem-ber,0,3,3
correction,no-vem-ber,no-vem-ber,0,3,3
infatuation,no-vem-ber,no-vem-ber,0,3,3
disturbed,no-vem-ber,no-vem-ber,0,3,3
birch,no-vem-ber,no-vem-ber,0,3,3
catchword,no-vem-ber,no-vem-ber,0,3,3
moderator,no-vem-ber,no-vem-ber,0,3,3
deepening,no-vem-ber,no-vem-ber,0,3,3
piecemeal,no-vem-ber,no-vem-ber,0,3,3
gas,no-vem-ber,no-vem-ber,0,3,3
redirect,no-vem-ber,no-vem-ber,0,3,3
lining,no-vem-ber,no-vem-ber,0,3,3
speculum,no-vem-ber,no-vem-ber,0,3,3
mowing,no-vem-ber,no-vem-ber,0,3,3
cadaverous,no-vem-ber,no-vem-ber,0,3,3
scatter,no-vem-ber,no-vem-ber,0,3,3
genetically,no-vem-ber,no-vem-ber,0,3,3
booklet,no-vem-ber,no-vem-ber,0,3,3
flabby,no-vem-ber,no-vem-ber,0,3,3
facet,no-vem-ber,no-vem-ber,0,3,3
plait,no-vem-ber,no-vem-ber,0,3,3
wader,no-vem-ber,no-vem-ber,0,3,3
slipshod,no-vem-ber,no-vem-ber,0,3,3
gossipy,no-vem-ber,no-vem-ber,0,3,3
shelving,no-vem-ber,no-vem-ber,0,3,3
forewarning,no-vem-ber,no-vem-ber,0,3,3
freedom,no-vem-ber,no-vem-ber,0,3,3
recessed,no-vem-ber,no-vem-ber,0,3,3
studentship,no-vem-ber,no-vem-ber,0,3,3
deify,no-vem-ber,no-vem-ber,0,3,3
incommunicable,no-vem-ber,no-vem-ber,0,3,3
smile,no-vem-ber,no-vem-ber,0,3,3
virulence,no-vem-ber,no-vem-ber,0,3,3
dinosaur,no-vem-ber,no-vem-ber,0,3,3
midmost,no-vem-ber,no-vem-ber,0,3,3
mongrel,no-vem-ber,no-vem-ber,0,3,3
charioteer,no-vem-ber,no-vem-ber,0,3,3
chronicle,no-vem-ber,no-vem-ber,0,3,3
speech,no-vem-ber,no-vem-ber,0,3,3
populate,no-vem-ber,no-vem-ber,0,3,3
right,no-vem-ber,no-vem-ber,0,3,3
inhumanity,no-vem-ber,no-vem-ber,0,3,3
millenarian,no-vem-ber,no-vem-ber,0,3,3
dissonant,no-vem-ber,no-vem-ber,0,3,3
resound,no-vem-ber,no-vem-ber,0,3,3
uproot,no-vem-ber,no-vem-ber,0,3,3
repackage,no-vem-ber,no-vem-ber,0,3,3
mulberry,no-vem-ber,no-vem-ber,0,3,3
provided,no-vem-ber,no-vem-ber,0,3,3
victimless,no-vem-ber,no-vem-ber,0,3,3
carpet,no-vem-ber,no-vem-ber,0,3,3
mason,no-vem-ber,no-vem-ber,0,3,3
demonstrable,no-vem-ber,no-vem-ber,0,3,3
breathable,no-vem-ber,no-vem-ber,0,3,3
rate,no-vem-ber,no-vem-ber,0,3,3
heed,no-vem-ber,no-vem-ber,0,3,3
ferry,no-vem-ber,no-vem-ber,0,3,3
supposed,no-vem-ber,no-vem-ber,0,3,3
famished,no-vem-ber,no-vem-ber,0,3,3
fortuitously,no-vem-ber,no-vem-ber,0,3,3
welterweight,no-vem-ber,no-vem-ber,0,3,3
neat,no-vem-ber,no-vem-ber,0,3,3
gazebo,no-vem-ber,no-vem-ber,0,3,3
omega,no-vem-ber,no-vem-ber,0,3,3
being,no-vem-ber,no-vem-ber,0,3,3
surface,no-vem-ber,no-vem-ber,0,3,3
tuber,no-vem-ber,no-vem-ber,0,3,3
