given_word,real_syllabification,attempted_syllabification,lev_dist,true_syl_count,attempted_syl_count
subcontinent,stiff-en,s-tiff-en,1,2,3
gremlin,stiff-en,s-tiff-en,1,2,3
unapologetic,stiff-en,s-tiff-en,1,2,3
monolithic,stiff-en,s-tiff-en,1,2,3
ingratiate,stiff-en,s-tiff-en,1,2,3
waggery,stiff-en,s-tiff-en,1,2,3
parabolic,stiff-en,s-tiff-en,1,2,3
psychotherapy,stiff-en,s-tiff-en,1,2,3
potion,stiff-en,s-tiff-en,1,2,3
rammed,stiff-en,s-tiff-en,1,2,3
pastoral,stiff-en,s-tiff-en,1,2,3
unclouded,stiff-en,s-tiff-en,1,2,3
cellophane,stiff-en,s-tiff-en,1,2,3
mucky,stiff-en,s-tiff-en,1,2,3
auk,stiff-en,s-tiff-en,1,2,3
additional,stiff-en,s-tiff-en,1,2,3
holiday,stiff-en,s-tiff-en,1,2,3
nil,stiff-en,s-tiff-en,1,2,3
baton,stiff-en,s-tiff-en,1,2,3
horrendous,stiff-en,s-tiff-en,1,2,3
inflate,stiff-en,s-tiff-en,1,2,3
uproot,stiff-en,s-tiff-en,1,2,3
reassurance,stiff-en,s-tiff-en,1,2,3
edged,stiff-en,s-tiff-en,1,2,3
calculator,stiff-en,s-tiff-en,1,2,3
unarguable,stiff-en,s-tiff-en,1,2,3
hood,stiff-en,s-tiff-en,1,2,3
worldly,stiff-en,s-tiff-en,1,2,3
cataclysm,stiff-en,s-tiff-en,1,2,3
commander,stiff-en,s-tiff-en,1,2,3
buttock,stiff-en,s-tiff-en,1,2,3
satanism,stiff-en,s-tiff-en,1,2,3
victor,stiff-en,s-tiff-en,1,2,3
candle,stiff-en,s-tiff-en,1,2,3
misgiving,stiff-en,s-tiff-en,1,2,3
melee,stiff-en,s-tiff-en,1,2,3
islet,stiff-en,s-tiff-en,1,2,3
minefield,stiff-en,s-tiff-en,1,2,3
uniformly,stiff-en,s-tiff-en,1,2,3
frock,stiff-en,s-tiff-en,1,2,3
recombinant,stiff-en,s-tiff-en,1,2,3
precipitous,stiff-en,s-tiff-en,1,2,3
heaviness,stiff-en,s-tiff-en,1,2,3
descend,stiff-en,s-tiff-en,1,2,3
ingrown,stiff-en,s-tiff-en,1,2,3
shortly,stiff-en,s-tiff-en,1,2,3
upsurge,stiff-en,s-tiff-en,1,2,3
outsell,stiff-en,s-tiff-en,1,2,3
venturer,stiff-en,s-tiff-en,1,2,3
carbide,stiff-en,s-tiff-en,1,2,3
chamomile,stiff-en,s-tiff-en,1,2,3
magnificent,stiff-en,s-tiff-en,1,2,3
barbed,stiff-en,s-tiff-en,1,2,3
institute,stiff-en,s-tiff-en,1,2,3
ally,stiff-en,s-tiff-en,1,2,3
commanding,stiff-en,s-tiff-en,1,2,3
seek,stiff-en,s-tiff-en,1,2,3
renovation,stiff-en,s-tiff-en,1,2,3
unconscionable,stiff-en,s-tiff-en,1,2,3
passing,stiff-en,s-tiff-en,1,2,3
prospective,stiff-en,s-tiff-en,1,2,3
brainwave,stiff-en,s-tiff-en,1,2,3
jackboot,stiff-en,s-tiff-en,1,2,3
registrar,stiff-en,s-tiff-en,1,2,3
skull,stiff-en,s-tiff-en,1,2,3
avens,stiff-en,s-tiff-en,1,2,3
reflation,stiff-en,s-tiff-en,1,2,3
compositor,stiff-en,s-tiff-en,1,2,3
grasp,stiff-en,s-tiff-en,1,2,3
languid,stiff-en,s-tiff-en,1,2,3
tog,stiff-en,s-tiff-en,1,2,3
graphically,stiff-en,s-tiff-en,1,2,3
intemperance,stiff-en,s-tiff-en,1,2,3
enlace,stiff-en,s-tiff-en,1,2,3
vet,stiff-en,s-tiff-en,1,2,3
arrogantly,stiff-en,s-tiff-en,1,2,3
simulate,stiff-en,s-tiff-en,1,2,3
unclad,stiff-en,s-tiff-en,1,2,3
implausible,stiff-en,s-tiff-en,1,2,3
gape,stiff-en,s-tiff-en,1,2,3
apathetic,stiff-en,s-tiff-en,1,2,3
quintessentially,stiff-en,s-tiff-en,1,2,3
shadow,stiff-en,s-tiff-en,1,2,3
imitative,stiff-en,s-tiff-en,1,2,3
choline,stiff-en,s-tiff-en,1,2,3
startlingly,stiff-en,s-tiff-en,1,2,3
ponce,stiff-en,s-tiff-en,1,2,3
layout,stiff-en,s-tiff-en,1,2,3
require,stiff-en,s-tiff-en,1,2,3
constructor,stiff-en,s-tiff-en,1,2,3
masterfully,stiff-en,s-tiff-en,1,2,3
phenomenon,stiff-en,s-tiff-en,1,2,3
moo,stiff-en,s-tiff-en,1,2,3
metempsychosis,stiff-en,s-tiff-en,1,2,3
dropped,stiff-en,s-tiff-en,1,2,3
monomolecular,stiff-en,s-tiff-en,1,2,3
moped,stiff-en,s-tiff-en,1,2,3
armrest,stiff-en,s-tiff-en,1,2,3
threadbare,stiff-en,s-tiff-en,1,2,3
interference,stiff-en,s-tiff-en,1,2,3
delict,stiff-en,s-tiff-en,1,2,3
welcoming,stiff-en,s-tiff-en,1,2,3
tikka,stiff-en,s-tiff-en,1,2,3
divinity,stiff-en,s-tiff-en,1,2,3
hippy,stiff-en,s-tiff-en,1,2,3
faraway,stiff-en,s-tiff-en,1,2,3
lob,stiff-en,s-tiff-en,1,2,3
mediocre,stiff-en,s-tiff-en,1,2,3
polled,stiff-en,s-tiff-en,1,2,3
scalene,stiff-en,s-tiff-en,1,2,3
exegesis,stiff-en,s-tiff-en,1,2,3
fire,stiff-en,s-tiff-en,1,2,3
necropolis,stiff-en,s-tiff-en,1,2,3
uncontroversial,stiff-en,s-tiff-en,1,2,3
definitely,stiff-en,s-tiff-en,1,2,3
insole,stiff-en,s-tiff-en,1,2,3
deceased,stiff-en,s-tiff-en,1,2,3
regularity,stiff-en,s-tiff-en,1,2,3
schema,stiff-en,s-tiff-en,1,2,3
feedback,stiff-en,s-tiff-en,1,2,3
blouse,stiff-en,s-tiff-en,1,2,3
undercoat,stiff-en,s-tiff-en,1,2,3
dispensable,stiff-en,s-tiff-en,1,2,3
gloating,stiff-en,s-tiff-en,1,2,3
programmable,stiff-en,s-tiff-en,1,2,3
permission,stiff-en,s-tiff-en,1,2,3
lambing,stiff-en,s-tiff-en,1,2,3
inscrutable,stiff-en,s-tiff-en,1,2,3
overshoot,stiff-en,s-tiff-en,1,2,3
squally,stiff-en,s-tiff-en,1,2,3
filling,stiff-en,s-tiff-en,1,2,3
rehouse,stiff-en,s-tiff-en,1,2,3
threaten,stiff-en,s-tiff-en,1,2,3
grouse,stiff-en,s-tiff-en,1,2,3
footed,stiff-en,s-tiff-en,1,2,3
propagate,stiff-en,s-tiff-en,1,2,3
sometime,stiff-en,s-tiff-en,1,2,3
trackless,stiff-en,s-tiff-en,1,2,3
delinquency,stiff-en,s-tiff-en,1,2,3
undaunted,stiff-en,s-tiff-en,1,2,3
typical,stiff-en,s-tiff-en,1,2,3
posterior,stiff-en,s-tiff-en,1,2,3
recreational,stiff-en,s-tiff-en,1,2,3
slight,stiff-en,s-tiff-en,1,2,3
initiate,stiff-en,s-tiff-en,1,2,3
genocide,stiff-en,s-tiff-en,1,2,3
veined,stiff-en,s-tiff-en,1,2,3
tab,stiff-en,s-tiff-en,1,2,3
reshape,stiff-en,s-tiff-en,1,2,3
mosaic,stiff-en,s-tiff-en,1,2,3
determined,stiff-en,s-tiff-en,1,2,3
churchyard,stiff-en,s-tiff-en,1,2,3
gradation,stiff-en,s-tiff-en,1,2,3
incautious,stiff-en,s-tiff-en,1,2,3
grommet,stiff-en,s-tiff-en,1,2,3
spotlight,stiff-en,s-tiff-en,1,2,3
sublime,stiff-en,s-tiff-en,1,2,3
rubbishy,stiff-en,s-tiff-en,1,2,3
architrave,stiff-en,s-tiff-en,1,2,3
workroom,stiff-en,s-tiff-en,1,2,3
bareback,stiff-en,s-tiff-en,1,2,3
hold,stiff-en,s-tiff-en,1,2,3
scatter,stiff-en,s-tiff-en,1,2,3
incorrect,stiff-en,s-tiff-en,1,2,3
gnomic,stiff-en,s-tiff-en,1,2,3
uncle,stiff-en,s-tiff-en,1,2,3
sporting,stiff-en,s-tiff-en,1,2,3
adventure,stiff-en,s-tiff-en,1,2,3
gluon,stiff-en,s-tiff-en,1,2,3
