Attempt	Real
im-mi-nen-t	im-mi-nent
ephemer-a	e-phem-er-a
handy	hand-y
tarot	ta-rot
iso-topic	i-so-top-ic
un-ser-vice-able	un-ser-vice-a-ble
syco-phan-tic	syc-o-phan-tic
needle-work	nee-dle-work
epit-o-me	e-pit-o-me
con-sumer	con-sum-er
aphro-disi-ac	aph-ro-dis-i-ac
relic-t	rel-ict
in-con-sid-er-able	in-con-sid-er-a-ble
brazen-ly	bra-zen-ly
pot-tery	pot-ter-y
bas-ketry	bas-ket-ry
im-paction	im-pac-tion
seizure	sei-zure
var-ie-gat-ed	var-i-e-gat-ed
un-sus-tain-able	un-sus-tain-a-ble
gan-glion	gan-gli-on
lurk-ing	lurking
man-ager-ess	man-ag-er-ess
b-lessed-ness	bless-ed-ness
caviar	cav-i-ar
pen-i-ten-tiary	pen-i-ten-tia-ry
s-lap-stick	slap-stick
mo-men-t	mo-ment
wel-com-ing	wel-co-ming
re-volt-ed	revolted
tes-ta-men-tary	tes-ta-men-ta-ry
e-s-pe-cial-ly	es-pe-cial-ly
clemen-t	clem-ent
s-culp-ture	sculp-ture
unin-spir-ing	un-in-spir-ing
s-e-lectee	se-lect-ee
por-phyry	por-phy-ry
s-lash-ing	slash-ing
in-ter-na-tion-al-is-m	in-ter-na-tion-al-ism
sub-scriber	sub-scrib-er
non-cha-lan-t	non-cha-lant
guardian	guard-i-an
de-fer-men-t	de-fer-ment
s-mol-der	smol-der
o-r-a-to-ry	or-a-to-ry
in-volve-men-t	in-volve-ment
poly-mer	pol-y-mer
cervix	cer-vix
d-if-fer	dif-fer
dial-y-sis	di-al-y-sis
ef-fer-ves-cen-t	ef-fer-ves-cent
un-count-able	un-count-a-ble
capy-bara	cap-y-ba-ra
un-pleas-an-t	un-pleas-ant
diminu-tion	dim-i-nu-tion
p-tarmi-gan	ptar-mi-gan
rhetor-i-cal	rhe-tor-i-cal
un-print-able	un-print-a-ble
fungi-cide	fun-gi-cide
avail-abil-i-ty	a-vail-a-bil-i-ty
s-lick-er	slick-er
sec-u-lar-is-m	sec-u-lar-ism
melt-ed	melted
s-words-man	swords-man
en-joy-ably	en-joy-a-bly
brand-ed	bran-ded
backgam-mon	back-gam-mon
cur-tilage	cur-ti-lage
augite	au-gite
com-paction	com-pac-tion
com-mence-men-t	com-mence-ment
tiger	ti-ger
s-tar-ship	star-ship
predilec-tion	pre-di-lec-tion
retic-u-lum	re-tic-u-lum
sole-cis-m	sol-e-cism
litho-sphere	lith-o-sphere
epis-co-pal	e-pis-co-pal
trans-for-m	trans-form
methy-lene	meth-yl-ene
mil-lenar-i-an	mil-le-nar-i-an
rene-gade	ren-e-gade
there-after	there-af-ter
cov-et-ed	coveted
leaky	leak-y
suit-abil-i-ty	suit-a-bil-i-ty
de-served-ly	de-serv-ed-ly
dis-burse-men-t	dis-burse-ment
daisy	dai-sy
coralline	cor-al-line
spinet	spin-et
u-nim-pressed	un-im-pressed
prebendary	preb-en-dar-y
layper-son	lay-per-son
soli-tude	sol-i-tude
scenery	scen-er-y
in-famy	in-fa-my
samovar	sam-o-var
livid	liv-id
ther-mo-dy-nam-ic-s	ther-mo-dy-nam-ics
we-b	web
sen-sa-tion-al-is-m	sen-sa-tion-al-ism
brawny	brawn-y
gener-ic	ge-ner-ic
chi-nois-erie	chi-noi-se-rie
puffer	puff-er
shopfron-t	shop-front
mil-i-taris-tic	mil-i-ta-ris-tic
mis-s	miss
posit	pos-it
hap-py-goluck-y	hap-py-go-luck-y
re-con-nec-t	re-con-nect
meio-sis	mei-o-sis
trans-ceiver	trans-ceiv-er
s-hears	shears
avarice	av-a-rice
hal-l	hall
ar-rival	ar-ri-val
sonata	so-na-ta
im-per-ma-nen-t	im-per-ma-nent
notepad	note-pad
itchy	itch-y
pro-ges-terone	pro-ges-ter-one
div-ina-tion	div-i-na-tion
ine-bri-ate	in-e-bri-ate
awestruc-k	awe-struck
man-dolin	man-do-lin
pi-rat-ed	pirated
rar-efied	rar-e-fied
vol-un-tary	vol-un-tar-y
s-paniel	span-iel
about	a-bout
in-tu-itive	in-tu-i-tive
meta-physic-s	met-a-phys-ics
pru-den-t	pru-dent
lay-of-f	lay-off
pa-tien-t	pa-tient
re-quiem	req-ui-em
hauler	haul-er
en-able	en-a-ble
sa-van-t	sa-vant
mope-d	mo-ped
ur-gen-t	ur-gent
moun-taineer-ing	moun-tain-eer-ing
s-cold-ing	scold-ing
coro-nal	cor-o-nal
midlife	mid-life
an-te-dilu-vian	an-te-di-lu-vi-an
clien-tele	cli-en-tele
over-sim-pli-fi-ca-tion	o-ver-sim-pli-fi-ca-tion
peace-able	peace-a-ble
cam-panol-o-gy	cam-pa-nol-o-gy
ho-muncu-lus	ho-mun-cu-lus
sep-a-ratism	sep-a-ra-tism
diver-s	di-vers
opaque	o-paque
re-unite	re-u-nite
s-i-nus	si-nus
s-to-icis-m	sto-i-cism
perky	perk-y
rif-f	riff
kayak	kay-ak
phoenix	phoe-nix
tele-scop-ic	tel-e-scop-ic
thumbprint	thumb-print
paraf-fin	par-af-fin
nascen-t	nas-cent
break-away	break-a-way
mac-a-roni	mac-a-ro-ni
te-dious	te-di-ous
topo-log-i-cal	top-o-log-i-cal
coter-mi-nous	co-ter-mi-nous
halo-gen	hal-o-gen
i-conog-ra-phy	i-co-nog-ra-phy
cir-cum-lo-cu-to-ry	cir-cum-loc-u-to-ry
haystack	hay-stack
i-nan-i-mate	in-an-i-mate
s-tut-ter	stut-ter
sar-i	sa-ri
qui-etus	qui-e-tus
sooty	soot-y
oc-tagon	oc-ta-gon
hal-ibut	hal-i-but
con-strict-ed	constricted
in-ter-minable	in-ter-mi-na-ble
spel-l	spell
ca-su-al-ty	cas-u-al-ty
com-peti-tor	com-pet-i-tor
macroe-co-nom-ic	mac-ro-ec-o-nom-ic
pe-cu-niary	pe-cu-ni-ar-y
s-pat	spat
en-slave-men-t	en-slave-ment
iso-la-tion-ist	i-so-la-tion-ist
mea-sure	meas-ure
rep-re-sen-t	rep-re-sent
dreamy	dream-y
largo	lar-go
g-o-nad	go-nad
cen-t	cent
metic-u-lous	me-tic-u-lous
aqua	aq-ua
raisin	rai-sin
windy	wind-y
monar-chist	mon-ar-chist
chara-banc	char-a-banc
painstak-ing	pains-tak-ing
s-tun-ning	stun-ning
testy	tes-ty
footage	foot-age
s-pade-work	spade-work
guilty	guilt-y
re-cessed	recessed
pyri-dine	pyr-i-dine
archangel	arch-an-gel
rigid-ly	rig-id-ly
s-nap-shot	snap-shot
in-fect-ed	in-fec-ted
bedrid-den	bed-rid-den
repack-age	re-pack-age
pres-ti-gious	pres-tig-ious
murky	murk-y
mi-cro-surgery	mi-cro-sur-ger-y
bigamy	big-a-my
s-tu-pen-dous	stu-pen-dous
gril-l	grill
laity	la-i-ty
on-ag-er	on-a-ger
homi-cide	hom-i-cide
en-light-en-men-t	en-light-en-ment
babysit-ting	babysitting
s-limy	slim-y
turfy	turf-y
s-lushy	slush-y
so-bri-ety	so-bri-e-ty
vacu-ity	va-cu-i-ty
flautist	flau-tist
peren-ni-al	per-en-ni-al
par-venu	par-ve-nu
w-hole-heart-ed	whole-heart-ed
breezy	breez-y
erec-tion	e-rec-tion
ini-tia-tive	in-i-ti-a-tive
t-wo	two
u-n-achiev-able	un-a-chiev-a-ble
ju-niper	ju-ni-per
knol-l	knoll
crotch-ety	crotch-et-y
thinker	think-er
cy-clotron	cy-clo-tron
gerund	ger-und
couloir	cou-loir
con-ver-gen-t	con-ver-gent
tilde	til-de
colum-nar	co-lum-nar
forest-ed	forested
mati-nee	mat-i-nee
en-croach-men-t	en-croach-ment
geno-ci-dal	gen-o-cid-al
book-stal-l	book-stall
un-san-i-tary	un-san-i-tar-y
vi-o-l	vi-ol
s-trat-i-fi-ca-tion	strat-i-fi-ca-tion
strug-gling	struggling
ap-plica-tive	ap-pli-ca-tive
framer	fram-er
cloudy	cloud-y
xeno-pho-bic	xen-o-pho-bic
an-tipodes	an-tip-o-des
s-traight-for-ward-ly	straight-for-ward-ly
pa-troness	pa-tron-ess
s-tur-dy	stur-dy
ex-trac-t	ex-tract
linoleum	li-no-le-um
com-pli-men-t	com-pli-ment
dan-de-lion	dan-de-li-on
s-parse	sparse
stag-nan-t	stag-nant
land-fil-l	land-fill
lega-tion	le-ga-tion
lyri-cis-m	lyr-i-cism
mil-lisec-ond	mil-li-sec-ond
avert	a-vert
mio-sis	mi-o-sis
ap-praisal	ap-prais-al
s-mile	smile
run-t	runt
s-tiff-en-ing	stiff-en-ing
impi	im-pi
postage	post-age
manikin	man-i-kin
opine	o-pine
usurp-er	u-surp-er
e-s-o-ter-ic	es-o-ter-ic
co-terie	co-te-rie
brandy	bran-dy
ho-mo-ge-neous	ho-mo-ge-ne-ous
fragili-ty	fra-gil-i-ty
deuteron	deu-ter-on
choral	cho-ral
s-lith-er	slith-er
gui-tarist	gui-tar-ist
s-tar-tling-ly	star-tling-ly
in-fini-tude	in-fin-i-tude
courtier	cour-ti-er
apron	a-pron
in-duc-t	in-duct
pun-gen-t	pun-gent
as-tro-physi-cist	as-tro-phys-i-cist
claret	clar-et
non-con-formist	non-con-form-ist
sickbed	sick-bed
sum-mery	sum-mer-y
s-nooze	snooze
gneis-s	gneiss
frat-ri-ci-dal	frat-ri-cid-al
s-lid-er	slid-er
syco-phan-t	syc-o-phant
g-lut-tonous	glut-ton-ous
pout-ing	pouting
grandeur	gran-deur
kamikaze	ka-mi-ka-ze
apoplexy	ap-o-plex-y
rhetor-i-cal-ly	rhe-tor-i-cal-ly
reclu-sive	re-clu-sive
antonym	an-to-nym
in-ef-fi-cien-t	in-ef-fi-cient
busi-nesslike	busi-ness-like
flesh-ing	fleshing
his-togram	his-to-gram
copy-ist	cop-y-ist
oldie	old-ie
trusty	trust-y
n-im-ble	nim-ble
en-durance	en-dur-ance
lath-e	lathe
con-ser-va-tive	con-serv-a-tive
cam-p	camp
pro-trac-t	pro-tract
co-pra	cop-ra
dis-con-ti-nu-ity	dis-con-ti-nu-i-ty
de-monolo-gy	de-mon-ol-o-gy
sinewy	sin-ew-y
un-re-li-able	un-re-li-a-ble
apish	ap-ish
pro-pa-gan-da	prop-a-gan-da
pedantry	ped-ant-ry
nun-nery	nun-ner-y
brio	bri-o
mega-lo-ma-ni-a	meg-a-lo-ma-ni-a
u-nan-swer-able	un-an-swer-a-ble
whaler	whal-er
elec-trophore-sis	e-lec-tro-pho-re-sis
temer-i-ty	te-mer-i-ty
epi-gram	ep-i-gram
serol-o-gy	se-rol-o-gy
s-lalom	sla-lom
in-san-i-tary	in-san-i-tar-y
gal-vanome-ter	gal-va-nom-e-ter
playable	play-a-ble
re-cy-cling	recycling
fid-get	fidg-et
epis-co-pa-cy	e-pis-co-pa-cy
raven	ra-ven
pizzi-ca-to	piz-zi-ca-to
nightwear	night-wear
dis-traugh-t	dis-traught
xenon	xe-non
re-new-able	re-new-a-ble
smoky	smok-y
supreme	su-preme
erot-i-ca	e-rot-i-ca
stylist	styl-ist
barony	bar-o-ny
in-stal-l	in-stall
seg-men-t	seg-ment
faucet	fau-cet
dis-union	dis-un-ion
meso-sphere	mes-o-sphere
pekan	pek-an
at-tach-men-t	at-tach-ment
cor-duroy	cor-du-roy
ap-proach-able	ap-proach-a-ble
para-m-ag-net-ic	par-a-mag-net-ic
suf-frag-ist	suf-fra-gist
drafty	draft-y
pig-gery	pig-ger-y
im-per-ti-nen-t	im-per-ti-nent
promon-to-ry	prom-on-to-ry
s-laugh-ter-house	slaugh-ter-house
