Attempt	Real
no-v-em-ber	no-vem-ber
quin-ine	qui-nine
pol-lu-t-er	pol-lut-er
fus-s-y	fuss-y
flound-er	floun-der
ec-toplasm	ec-to-plasm
fro-lic-some	frol-ic-some
mul-tip-li-ca-tion	mul-ti-pli-ca-tion
bel-liger-ent	bel-lig-er-ent
san-der	sand-er
hy-drau-l-ics	hy-drau-lics
pat-is-ser-ie	pa-tis-se-rie
an-ti-pa-thy	an-tip-a-thy
or-bi-ter	or-bit-er
heli-o-sphere	he-li-o-sphere
hand-picked	handpicked
hick-ory	hick-o-ry
re-ser-voir	res-er-voir
pro-mise	prom-ise
pan-das	pan-das
tril-b-y	tril-by
deepen-ing	deepening
fa-cet	fac-et
gos-si-py	gos-sip-y
re-cessed	recessed
dei-f-y	de-i-fy
char-i-o-teer	char-i-ot-eer
dis-son-ant	dis-so-nant
uproot	up-root
provid-ed	pro-vid-ed
for-tuitous-ly	for-tu-i-tous-ly
gaze-bo	ga-ze-bo
ome-ga	o-me-ga
tub-er	tu-ber
phy-si-og-no-my	phys-i-og-no-my
re-sig-na-tion	res-ig-na-tion
e-s-cape	es-cape
betrothed	be-trothed
cid-er	ci-der
ham-mering	ham-mer-ing
mis-tre-at-ment	mis-treat-ment
sta-tute	stat-ute
rap-proch-e-ment	rap-proche-ment
cur-tained	curtained
dis-til-ler-y	dis-till-er-y
imag-er-y	im-age-ry
con-ti-g-u-i-ty	con-ti-gu-i-ty
fervent-ly	fer-vent-ly
po-ten-tiom-e-ter	po-ten-ti-om-e-ter
fluf-f-y	fluff-y
dra-gon	drag-on
dere-lict	der-e-lict
tri-vi-a	triv-i-a
ap-er-itif	a-pe-ri-tif
re-ci-pro-cal	re-cip-ro-cal
rene-wal	re-new-al
in-con-so-l-a-ble	in-con-sol-a-ble
mil-ady	mi-la-dy
par-en-tal	pa-ren-tal
in-ad-visa-ble	in-ad-vis-a-ble
des-eg-re-ga-tion	de-seg-re-ga-tion
a-po-plex-y	ap-o-plex-y
gail-y	gai-ly
re-volver	re-volv-er
cu-rat-ed	curated
pi-a-n-o-la	pi-a-no-la
cha-mois	cham-ois
sev-ent-y	sev-en-ty
prep-a-r-a-tive	pre-par-a-tive
an-yone	an-y-one
boo-k-ie	book-ie
