Attempt	Real
un-apolo-getic	un-a-pol-o-get-ic
mono-lith-ic	mon-o-lith-ic
wag-gery	wag-ger-y
psy-chother-a-py	psy-cho-ther-a-py
pas-toral	pas-to-ral
mucky	muck-y
unar-guable	un-ar-gu-a-ble
com-man-der	com-mand-er
sa-tanism	sa-tan-ism
melee	me-lee
islet	is-let
uni-form-ly	u-ni-form-ly
chamomile	cham-o-mile
ally	al-ly
un-con-scionable	un-con-scion-a-ble
prospec-tive	pro-spec-tive
avens	av-ens
choline	cho-line
metempsy-chosis	me-tem-psy-cho-sis
monomol-e-c-u-lar	mon-o-mo-lec-u-lar
moped	mo-ped
delict	de-lict
wel-com-ing	wel-co-ming
far-away	far-a-way
mediocre	me-di-o-cre
necrop-o-lis	ne-crop-o-lis
schema	sche-ma
dis-pens-able	dis-pen-sa-ble
gloat-ing	gloating
in-scrutable	in-scru-ta-ble
over-shoot	o-ver-shoot
squally	squal-ly
delin-quen-cy	de-lin-quen-cy
recre-ation-al	rec-re-a-tion-al
ini-ti-ate	in-i-ti-ate
geno-cide	gen-o-cide
rub-bishy	rub-bish-y
gnom-ic	gno-mic
bi-modal	bi-mod-al
racism	rac-ism
poly-tech-nic	pol-y-tech-nic
in-valid	in-va-lid
cu-rare	cu-ra-re
beau-teous	beau-te-ous
machi-na-tion	mach-i-na-tion
epis-te-mo-log-i-cal	e-pis-te-mo-log-i-cal
bluesy	blues-y
spokes-woman	spokes-wom-an
cy-tochrome	cy-to-chrome
foot-balling	foot-ball-ing
flow-ery	flow-er-y
rel-a-tivis-tic	rel-a-tiv-is-tic
monothe-ism	mon-o-the-ism
con-cil-ia-tor	con-cil-i-a-tor
re-seller	re-sell-er
goa-tee	goat-ee
im-pro-pri-ety	im-pro-pri-e-ty
lifestyle	life-style
sky-scraper	sky-scrap-er
stratos-pher-ic	strat-o-spher-ic
mono-chro-mat-ic	mon-o-chro-mat-ic
novice	nov-ice
sav-agery	sav-age-ry
fetishism	fet-ish-ism
polypep-tide	pol-y-pep-tide
atoll	at-oll
panache	pa-nache
mid-wifery	mid-wife-ry
roughage	rough-age
up-lift-ed	uplifted
tablet	tab-let
romper	romp-er
in-ter-preter	in-ter-pret-er
bac-te-r-i-al	bac-te-ri-al
ra-tio-nal	ra-tion-al
ingress	in-gress
toady	toad-y
pre-sen-ta-tion-al	pres-en-ta-tion-al
un-der-e-d-u-cat-ed	un-der-ed-u-cat-ed
un-en-vi-able	un-en-vi-a-ble
paving	pav-ing
em-bolism	em-bo-lism
un-en-durable	un-en-dur-a-ble
in-de-pen-dence	in-de-pend-ence
con-vert-ible	con-vert-i-ble
tremo-lo	trem-o-lo
uniden-ti-fied	un-i-den-ti-fied
sus-tain-able	sus-tain-a-ble
semi-fi-nal	sem-i-fi-nal
catholic	cath-o-lic
eleventh	e-lev-enth
in-ter-op-er-abil-i-ty	in-ter-op-er-a-bil-i-ty
frip-pery	frip-per-y
tetrox-ide	te-trox-ide
oph-thalmic	oph-thal-mic
quest-ing	questing
in-de-scrib-able	in-de-scrib-a-ble
rapi-er	ra-pi-er
duress	du-ress
black-ened	blackened
