Attempt	Real
jeop-ardy	jeop-ard-y
de-served-ly	de-serv-ed-ly
con-ti-nen-t	con-ti-nent
re-cidi-vist	re-cid-i-vist
in-cisor	in-ci-sor
arabesque	ar-a-besque
vengeance	venge-ance
willpow-er	will-pow-er
s-to-ical	sto-i-cal
t-in-pot	tin-pot
seizure	sei-zure
un-us-able	un-us-a-ble
pyra-mi-dal	py-ram-i-dal
re-moval	re-mov-al
u-n-avail-able	un-a-vail-a-ble
wa-terbed	wa-ter-bed
stealth-ily	stealth-i-ly
bio-sphere	bi-o-sphere
mighty	might-y
sober-ly	so-ber-ly
s-culp-tor	sculp-tor
at-temp-t	at-tempt
dumb-bel-l	dumb-bell
lan-der	land-er
k-i-na	ki-na
hereto-fore	here-to-fore
sacral	sa-cral
no-ti-fi-able	no-ti-fi-a-ble
u-nas-sum-ing	un-as-sum-ing
over-spend	o-ver-spend
t-suna-mi	tsu-na-mi
grassy	grass-y
re-minder	re-mind-er
huf-f	huff
cir-cum-ven-t	cir-cum-vent
s-tun-ning-ly	stun-ning-ly
hearti-ly	heart-i-ly
guille-mot	guil-le-mot
dancer	danc-er
s-nooze	snooze
frilli-er	fril-li-er
b-otany	bot-a-ny
askance	a-skance
kinky	kink-y
philis-tine	phil-is-tine
vi-bran-t	vi-brant
e-quinox	e-qui-nox
psy-choso-cial	psy-cho-so-cial
lan-guorous	lan-guor-ous
gen-uine-ly	gen-u-ine-ly
per-cu-ta-neous	per-cu-ta-ne-ous
biki-ni	bi-ki-ni
pedes-tri-an	pe-des-tri-an
steadi-ly	stead-i-ly
chaot-ic	cha-ot-ic
car-borun-dum	car-bo-run-dum
per-for-m	per-form
s-cant	scant
prophet-ic	pro-phet-ic
tor-ren-t	tor-rent
servi-tude	ser-vi-tude
chintzy	chintz-y
heron	her-on
car-cino-genic	car-cin-o-gen-ic
s-trait-ened	strait-ened
thyris-tor	thy-ris-tor
iso-lat-ing	i-so-lat-ing
medusa	me-du-sa
benef-i-cen-t	be-nef-i-cent
nico-tine	nic-o-tine
lano-lin	lan-o-lin
avari-cious	av-a-ri-cious
gigo-lo	gig-o-lo
tetrox-ide	te-trox-ide
z-inc	zinc
s-tu-pe-fac-tion	stu-pe-fac-tion
de-scen-t	de-scent
en-cam-p	en-camp
per-ish-able	per-ish-a-ble
lama	la-ma
over-ac-tive	o-ver-ac-tive
bil-liard-s	bil-liards
ex-cel-len-t	ex-cel-lent
im-pe-cu-nious	im-pe-cu-ni-ous
d-u-al-is-tic	du-al-is-tic
chop-s	chops
aor-ta	a-or-ta
ig-no-ran-t	ig-no-rant
ben-e-fi-cia-ry	ben-e-fi-ci-ar-y
s-loth	sloth
axle	ax-le
in-vest-men-t	in-vest-ment
u-topi-a	u-to-pi-a
deliri-ous	de-lir-i-ous
im-pon-der-able	im-pon-der-a-ble
s-now-man	snow-man
over-step	o-ver-step
relic-t	rel-ict
vi-o-len-t	vi-o-lent
in-quisi-tor	in-quis-i-tor
matin-s	mat-ins
ex-pec-tant-ly	ex-pect-ant-ly
ru-ined	ruined
sen-ti-men-t	sen-ti-ment
man-telshelf	man-tel-shelf
kril-l	krill
plan-t	plant
un-con-trol-lable	un-con-trol-la-ble
s-train	strain
e-d-u-ca-tion-al	ed-u-ca-tion-al
bes-tial-i-ty	bes-ti-al-i-ty
in-tac-t	in-tact
s-pank	spank
tangy	tang-y
s-mog-gy	smog-gy
in-con-gruity	in-con-gru-i-ty
d-if-fuse	dif-fuse
who-dunit	who-dun-it
in-fantry-man	in-fan-try-man
me-te-orite	me-te-or-ite
tremen-dous	tre-men-dous
salmon	salm-on
chee-ri-o	cheer-i-o
harpist	har-pist
be-trothal	be-troth-al
u-n-alike	un-a-like
famine	fam-ine
er-ro-neous-ly	er-ro-ne-ous-ly
re-sel-l	re-sell
chid-ing	chiding
thrifty	thrift-y
iso-lat-ed	i-so-lat-ed
i-nani-ty	in-an-i-ty
g-lut-tony	glut-ton-y
await	a-wait
cor-rec-t	cor-rect
ul-tra-son-ic-s	ul-tra-son-ics
dis-tric-t	dis-trict
pesti-len-tial	pes-ti-len-tial
palu-dal	pa-lu-dal
ap-pre-cia-ble	ap-pre-ci-a-ble
legu-mi-nous	le-gu-mi-nous
so-cioe-co-nom-ic	so-ci-o-ec-o-nom-ic
mag-netite	mag-net-ite
can-non-bal-l	can-non-ball
felon	fel-on
laud-s	lauds
hep-tagon	hep-ta-gon
d-ab-ble	dab-ble
lig-and	li-gand
im-pa-tien-t	im-pa-tient
heretic	her-e-tic
un-de-vel-ope-d	un-de-vel-oped
re-peat-able	re-peat-a-ble
judg-men-t	judg-ment
preter-nat-u-ral	pre-ter-nat-u-ral
capri-ole	cap-ri-ole
s-ta-tus	sta-tus
pi-ran-ha	pi-ra-nha
layabout	lay-a-bout
perime-ter	pe-rim-e-ter
de-spon-den-cy	de-spond-en-cy
aper-ture	ap-er-ture
gin-sen-g	gin-seng
woodsmoke	wood-smoke
s-log	slog
gleam-ing	gleaming
his-tamine	his-ta-mine
pira-cy	pi-ra-cy
k-lax-on	klax-on
raider	raid-er
par-tic-i-pan-t	par-tic-i-pant
in-spec-torate	in-spec-tor-ate
over-cast	o-ver-cast
celandine	cel-an-dine
ex-pand-able	ex-pand-a-ble
coun-terof-fen-sive	coun-ter-of-fen-sive
s-tair-head	stair-head
leapfrog	leap-frog
gos-samer	gos-sa-mer
mantra	man-tra
golfer	golf-er
prepa-ra-tion	prep-a-ra-tion
re-cov-ery	re-cov-er-y
palm-istry	palm-is-try
colon	co-lon
fo-men-t	fo-ment
lin-eage	lin-e-age
frothy	froth-y
triv-ial	triv-i-al
gullible	gul-li-ble
pre-de-ter-mined	predetermined
green-ery	green-er-y
tetra	tet-ra
en-tomb-men-t	en-tomb-ment
wash-able	wash-a-ble
meta-lan-guage	met-a-lan-guage
s-ports-man-ship	sports-man-ship
dis-com-fort-ing	discomforting
con-fi-dan-t	con-fi-dant
chi-canery	chi-can-er-y
serif	ser-if
in-ten-t	in-tent
caiman	cai-man
need-s	needs
n-ev-er-the-less	nev-er-the-less
bribery	brib-er-y
overqual-i-fied	o-ver-qual-i-fied
pre-dictabil-i-ty	pre-dict-a-bil-i-ty
parachutist	par-a-chut-ist
delux-e	de-luxe
carouse	ca-rouse
de-port-men-t	de-port-ment
paraglid-ing	par-a-glid-ing
navvy	nav-vy
em-bar-rass-men-t	em-bar-rass-ment
u-nashamed-ly	un-a-sham-ed-ly
un-buried	un-bur-ied
k-ing-dom	king-dom
prosce-ni-um	pro-sce-ni-um
es-cu-d-o	es-cu-do
lazi-ness	la-zi-ness
s-ingsong	sing-song
gallery	gal-ler-y
mis-nomer	mis-no-mer
repli-ca-tion	rep-li-ca-tion
colobus	col-o-bus
geo-physic-s	ge-o-phys-ics
shal-l	shall
ar-guably	ar-gu-a-bly
untest-ed	un-test-ed
s-tran-gle-hold	stran-gle-hold
gloat-ing	gloating
cater	ca-ter
leather	leath-er
raspy	rasp-y
sawmil-l	saw-mill
ir-re-sistible	ir-re-sist-i-ble
codex	co-dex
anx-i-ety	anx-i-e-ty
re-pel-len-t	re-pel-lent
break-away	break-a-way
in-ces-t	in-cest
aqua-naut	aq-ua-naut
con-temptible	con-tempt-i-ble
pol-lu-tan-t	pol-lu-tant
satir-i-cal	sa-tir-i-cal
panoply	pan-o-ply
un-re-solv-able	un-re-solv-a-ble
dud-geon	dudg-eon
man-ganese	man-ga-nese
mas-tery	mas-ter-y
killing	kill-ing
nosy	nos-y
e-m-anate	em-a-nate
repa-tri-a-tion	re-pa-tri-a-tion
s-pan-gled	spangled
cus-tody	cus-to-dy
s-luice	sluice
pom-padour	pom-pa-dour
over-work	o-ver-work
callable	call-a-ble
e-pochal	ep-och-al
my-opic	my-op-ic
rubric	ru-bric
short-ter-m	short-term
im-petu-ous	im-pet-u-ous
mil-i-tan-t	mil-i-tant
frica-tive	fric-a-tive
cara-pace	car-a-pace
tute-lage	tu-te-lage
un-bo-som	un-bos-om
quif-f	quiff
s-tud-ded	stud-ded
ter-ror-is-m	ter-ror-ism
corol-lary	cor-ol-lar-y
vari-a-tion	var-i-a-tion
ex-ecu-tor	ex-ec-u-tor
learned	learn-ed
re-fin-ery	re-fin-er-y
in-ter-plan-e-tary	in-ter-plan-e-tar-y
dat-able	dat-a-ble
lumpen	lum-pen
aware	a-ware
gateau	ga-teau
meaty	meat-y
u-n-ap-pre-ci-at-ed	un-ap-pre-ci-at-ed
poly-chrome	pol-y-chrome
geno-ci-dal	gen-o-cid-al
un-trans-lat-able	un-trans-lat-a-ble
roughage	rough-age
lyrist	lyr-ist
wave-fron-t	wave-front
squin-t	squint
cerise	ce-rise
cov-etous	cov-et-ous
at-tempt-ed	at-temp-ted
physi-cist	phys-i-cist
war-m	warm
an-nounce-men-t	an-nounce-ment
tractable	trac-ta-ble
