Attempt	Real
count-er	coun-ter
ne-crop-sy	nec-rop-sy
un-wor-th-y	un-wor-thy
ran-co-r-ous	ran-cor-ous
bra-v-o	bra-vo
bluish	blu-ish
smug-gling	smuggling
i-b-is	i-bis
pleasure	pleas-ure
rea-wak-en	re-a-wak-en
cyc-li-cal	cy-cli-cal
li-quor	liq-uor
bur-geon-ing	burgeoning
doc-to-rate	doc-tor-ate
in-firm-i-ty	in-fir-mi-ty
new-s-a-gent	news-a-gent
con-troll-er	con-trol-ler
reu-ni-fi-ca-tion	re-u-ni-fi-ca-tion
step-father	step-fa-ther
iv-y	i-vy
de-vil-ry	dev-il-ry
nav-el	na-vel
cere-mo-ny	cer-e-mo-ny
il-li-quid	il-liq-uid
matri-arch	ma-tri-arch
bond-ing	bonding
ca-ter-pil-lar	cat-er-pil-lar
awestruck	awe-struck
pro-gramming	pro-gram-ming
trivi-al-i-ty	triv-i-al-i-ty
pro-f-ound-ly	pro-found-ly
o-ver-worked	overworked
deci-sive-ness	de-ci-sive-ness
smelt-ing	smelting
tri-gly-ceride	tri-glyc-er-ide
prem-a-ture-ly	pre-ma-ture-ly
ca-ta-ract	cat-a-ract
im-portant-ly	im-por-tant-ly
mi-cro-farad	mi-cro-far-ad
rock-e-try	rock-et-ry
subur-bi-a	sub-ur-bi-a
win-k-le	win-kle
un-so-ci-a-ble	un-so-cia-ble
mul-tilevel	mul-ti-lev-el
co-pra	cop-ra
busi-nes-s-like	busi-ness-like
pen-i-ten-tiar-y	pen-i-ten-tia-ry
mer-chandis-ing	mer-chan-dis-ing
cere-mo-ni-al	cer-e-mo-ni-al
broken	bro-ken
om-ni-po-tent	om-nip-o-tent
sto-kes	stokes
mar-su-pial	mar-su-pi-al
su-pre-ma-cist	su-prem-a-cist
hor-i-zon	ho-ri-zon
wicked	wick-ed
ti-me-l-i-ness	time-li-ness
po-ver-ty	pov-er-ty
scream-ing	screaming
tele-vised	televised
pub-lished	published
bas-sist	bass-ist
u-te-rine	u-ter-ine
mi-c-ro-phone	mi-cro-phone
milk-shake	milkshake
machin-er-y	ma-chin-er-y
an-ti-podes	an-tip-o-des
sum-mar-y	sum-ma-ry
dar-ter	dart-er
eer-i-ly	ee-ri-ly
modest-ly	mod-est-ly
vid-e-o-taped	videotaped
ex-traj-u-di-cial	ex-tra-ju-di-cial
flound-er	floun-der
pat-terned	patterned
ar-tis-try	art-ist-ry
pap-a-cy	pa-pa-cy
id-e-o-log-i-cal-ly	i-de-o-log-i-cal-ly
eas-y-going	eas-y-go-ing
devel-op-men-tal-ly	de-vel-op-men-tal-ly
blis-t-er	blis-ter
with-dra-wal	with-draw-al
in-aud-i-ble	in-au-di-ble
scam-per	scamp-er
mar-ke-t-er	mar-ket-er
glu-t-en	glu-ten
snow-s-torm	snow-storm
re-sin	res-in
bo-dy-guard	bod-y-guard
co-p-ro-lite	cop-ro-lite
clas-si-f-i-ca-to-ry	clas-si-fi-ca-to-ry
ca-m-e-o	cam-e-o
ca-thol-ic	cath-o-lic
ma-ny	man-y
o-var-y	o-va-ry
lem-o-nade	lem-on-ade
polk-a	pol-ka
rem-i-n-is-cence	rem-i-nis-cence
phob-ic	pho-bic
fault-ing	faulting
bi-er	bier
crav-en	cra-ven
di-agon-al	di-ag-o-nal
gale-na	ga-le-na
de-sic-ca-tor	des-ic-ca-tor
es-ta-blish	es-tab-lish
in-di-vi-si-ble	in-di-vis-i-ble
con-spec-if-ic	con-spe-cif-ic
feas-i-bly	fea-si-bly
tri-po-li	trip-o-li
arches	arch-es
do-tage	dot-age
lad-y-bird	la-dy-bird
stoi-cal	sto-i-cal
daily	dai-ly
with-ered	withered
gadge-try	gadg-et-ry
eyelet	eye-let
rec-o-v-er	re-cov-er
staphy-lo-coc-cus	staph-y-lo-coc-cus
ga-ze-lle	ga-zelle
me-lod-ra-mat-ic	mel-o-dra-mat-ic
ca-co-ph-o-nous	ca-coph-o-nous
em-ble-mat-ic	em-blem-at-ic
her-bi-cide	herb-i-cide
ta-b-le-cloth	ta-ble-cloth
sto-mach	stom-ach
hu-ma-n-oid	hu-man-oid
re-cir-c-u-late	re-cir-cu-late
stew-ed	stewed
con-vect-ed	convected
pro-spect	pros-pect
pre-mise	prem-ise
wa-terbed	wa-ter-bed
ca-da-ver	ca-dav-er
re-col-lect	rec-ol-lect
thereu-pon	there-up-on
en-count-er	en-coun-ter
prov-ok-ing	pro-vok-ing
skirm-ish	skir-mish
plen-i-po-ten-tiar-y	plen-i-po-ten-ti-ar-y
prof-i-teer-ing	profiteering
grann-y	gran-ny
burn-ings	bur-nings
min-is-ter-i-al	min-is-te-ri-al
furn-ish	fur-nish
heat-wave	heatwave
po-lygy-ny	po-lyg-y-ny
res-is-tiv-i-ty	re-sis-tiv-i-ty
re-scue	res-cue
haz-ar-dous	haz-ard-ous
paun-chy	paunch-y
palt-ry	pal-try
prol-on-ga-tion	pro-lon-ga-tion
vi-r-a-go	vi-ra-go
ref-in-ish	re-fin-ish
zool-o-gy	zo-ol-o-gy
fron-ti-er	fron-tier
crea-tive-ly	cre-a-tive-ly
maybe	may-be
un-cor-rob-orat-ed	un-cor-rob-o-rat-ed
ob-lige	o-blige
un-spok-en	un-spo-ken
