Attempt	Real
gad-getry	gadg-et-ry
neon	ne-on
eter-ni-ty	e-ter-ni-ty
dimin-u-en-do	di-min-u-en-do
re-process	re-proc-ess
fetishist	fet-ish-ist
bodice	bod-ice
quadri-par-tite	quad-ri-par-tite
porter-age	por-ter-age
mem-o-ra-bil-ia	mem-o-ra-bil-i-a
chronome-ter	chro-nom-e-ter
desert	de-sert
im-mov-able	im-mov-a-ble
elec-tron-ic	e-lec-tron-ic
tremu-lous	trem-u-lous
over-due	o-ver-due
deco-rum	de-co-rum
oner	on-er
car-avel	car-a-vel
bedrid-den	bed-rid-den
wolfhound	wolf-hound
lemur	le-mur
lama	la-ma
ar-madil-lo	ar-ma-dil-lo
em-broi-dery	em-broi-der-y
deco-rous	dec-o-rous
idio-syn-crasy	id-i-o-syn-cra-sy
quadru-ply	quad-ru-ply
prostaglandin	pros-ta-glan-din
un-sup-port-able	un-sup-port-a-ble
coun-ter-in-tu-itive	coun-ter-in-tu-i-tive
sub-sidy	sub-si-dy
ed-itable	ed-it-a-ble
spir-i-tu-al-ly	spir-it-u-al-ly
eigen-val-ue	ei-gen-val-ue
plunger	plung-er
taran-tu-la	ta-ran-tu-la
cere-bel-lum	cer-e-bel-lum
in-audi-ble	in-au-di-ble
shekel	shek-el
emet-ic	e-met-ic
un-com-fort-able	un-com-fort-a-ble
bungee	bun-gee
raspy	rasp-y
repack-age	re-pack-age
coastal	coast-al
hye-na	hy-e-na
byprod-uct	by-prod-uct
uni-lat-er-al-ly	u-ni-lat-er-al-ly
caprice	ca-price
bazaar	ba-zaar
macro-cosm	mac-ro-cosm
per-fidy	per-fi-dy
parish	par-ish
tribu-la-tion	trib-u-la-tion
rack-e-teer-ing	rack-et-eer-ing
volatile	vol-a-tile
postage	post-age
fri-ary	fri-ar-y
ovoid	o-void
nico-tine	nic-o-tine
over-lap	o-ver-lap
penal-ty	pen-al-ty
wary	war-y
cog-nizant	cog-ni-zant
dra-con-ian	dra-co-ni-an
cagey	cag-ey
plebiscite	pleb-i-scite
thaw-ing	thawing
un-touch-able	un-touch-a-ble
over-lie	o-ver-lie
kine-mat-ics	kin-e-mat-ics
moun-taineer-ing	moun-tain-eer-ing
post-mod-ernist	post-mod-ern-ist
me-te-o-rol-o-gy	me-te-or-ol-o-gy
erup-tive	e-rup-tive
unin-sur-able	un-in-sur-a-ble
ebul-lience	e-bul-lience
aviary	a-vi-ar-y
missal	mis-sal
di-atom-ic	di-a-tom-ic
overeat	o-ver-eat
crenel-la-tions	cren-el-la-tions
cre-ative-ly	cre-a-tive-ly
racy	rac-y
un-frozen	un-fro-zen
con-fi-den-tial-i-ty	con-fi-den-ti-al-i-ty
de-f-i-n-i-tion-al	def-i-ni-tion-al
every	eve-ry
med-ica-tion	med-i-ca-tion
dic-ta-to-r-i-al	dic-ta-to-ri-al
skua	sku-a
unswerv-ing	un-swerv-ing
petrol-o-gy	pe-trol-o-gy
un-adapt-ed	un-a-dapt-ed
hand-picked	handpicked
ban-knote	bank-note
vari-cose	var-i-cose
whacko	whack-o
emit-ter	e-mit-ter
skir-mish-ing	skirmishing
forest-ed	forested
dis-am-biguate	dis-am-big-u-ate
gua-camole	gua-ca-mo-le
macaw	ma-caw
expo	ex-po
shoplift-ing	shop-lift-ing
ovu-la-tion	ov-u-la-tion
bio-chemist	bi-o-chem-ist
stat-uette	stat-u-ette
evade	e-vade
bi-car-bon-ate	bi-car-bo-nate
com-mis-sari-at	com-mis-sar-i-at
avoid-ance	a-void-ance
res-cuer	res-cu-er
in-stan-ta-neous-ly	in-stan-ta-ne-ous-ly
papa	pa-pa
ate-lier	at-el-ier
over-draw	o-ver-draw
sug-ary	sug-ar-y
un-fash-ion-able	un-fash-ion-a-ble
vacu-ity	va-cu-i-ty
poly-he-dron	pol-y-he-dron
prophet	proph-et
vial	vi-al
sabra	sa-bra
his-tol-ogy	his-tol-o-gy
masochist	mas-och-ist
timetable	time-ta-ble
in-sup-port-able	in-sup-port-a-ble
mono-chrome	mon-o-chrome
in-dica-tive	in-dic-a-tive
ques-tion-able	ques-tion-a-ble
gaudy	gaud-y
de-mo-graph-ics	dem-o-graph-ics
hab-er-dash-ery	hab-er-dash-er-y
duel	du-el
in-valu-able	in-val-u-a-ble
physics	phys-ics
repast	re-past
scraper	scrap-er
hal-ibut	hal-i-but
ex-tra-mur-al	ex-tra-mu-ral
asex-u-al	a-sex-u-al
mantra	man-tra
at-tribu-tive	at-trib-u-tive
far-away	far-a-way
re-deemable	re-deem-a-ble
soupy	soup-y
cham-pi-onship	cham-pi-on-ship
read-mis-sion	re-ad-mis-sion
frailty	frail-ty
elec-tro-mo-tive	e-lec-tro-mo-tive
erec-tion	e-rec-tion
fundrais-ing	fund-rais-ing
parental	pa-ren-tal
im-pro-visato-ry	im-pro-vi-sa-to-ry
busi-nesslike	busi-ness-like
ibis	i-bis
un-ap-pre-cia-tive	un-ap-pre-ci-a-tive
legume	leg-ume
elec-tron	e-lec-tron
as-besto-sis	as-bes-to-sis
forester	for-est-er
around	a-round
squalid	squal-id
or-tho-doxy	or-tho-dox-y
transcon-ti-nen-tal	trans-con-ti-nen-tal
apol-o-gy	a-pol-o-gy
re-assess	re-as-sess
ure-thane	u-re-thane
re-stroom	rest-room
peren-ni-al-ly	per-en-ni-al-ly
egress	e-gress
in-ter-preter	in-ter-pret-er
sta-tionery	sta-tion-er-y
un-sea-son-able	un-sea-son-a-ble
com-plaisant	com-plai-sant
stormy	storm-y
dis-ci-pli-nary	dis-ci-pli-nar-y
mater	ma-ter
repack	re-pack
felo-nious	fe-lo-ni-ous
in-cur-able	in-cur-a-ble
id-io-path-ic	id-i-o-path-ic
cou-turi-er	cou-tu-ri-er
dis-cor-dant	dis-cord-ant
hon-orif-ic	hon-or-if-ic
for-get-table	for-get-ta-ble
tweedy	tweed-y
bad-minton	bad-min-ton
lilac	li-lac
syn-onym	syn-o-nym
courtship	court-ship
in-ex-tin-guish-able	in-ex-tin-guish-a-ble
hookah	hook-ah
col-lapsi-ble	col-laps-i-ble
naval	na-val
bean-ery	bean-er-y
un-sur-pass-able	un-sur-pass-a-ble
volt-meter	volt-me-ter
mas-cara	mas-car-a
blankly	blank-ly
aqualung	aq-ua-lung
me-dia	me-di-a
over-es-ti-mate	o-ver-es-ti-mate
carafe	ca-rafe
leg-isla-tive	leg-is-la-tive
salient	sa-li-ent
rec-i-p-ro-cate	re-cip-ro-cate
fu-ner-ary	fu-ner-ar-y
orig-i-nal	o-rig-i-nal
dere-lic-tion	der-e-lic-tion
poseur	po-seur
iconog-ra-phy	i-co-nog-ra-phy
or-biter	or-bit-er
heresy	her-e-sy
wafer	wa-fer
es-calade	es-ca-lade
re-al-ness	real-ness
spon-sored	sponsored
ego-cen-tric	e-go-cen-tric
hip-popota-mus	hip-po-pot-a-mus
melan-cho-lia	mel-an-cho-li-a
wel-com-ing	wel-co-ming
recla-ma-tion	rec-la-ma-tion
deu-teri-um	deu-te-ri-um
arch-dio-cese	arch-di-o-cese
ge-neti-cist	ge-net-i-cist
corvette	cor-vette
pipeline	pipe-line
en-fee-bled	enfeebled
duo	du-o
sym-biont	sym-bi-ont
lentil	len-til
over-sexed	o-ver-sexed
erased	e-rased
seis-mome-ter	seis-mom-e-ter
clover	clo-ver
costar	co-star
sonata	so-na-ta
pes-simism	pes-si-mism
pipette	pi-pette
frosty	frost-y
gu-ber-na-to-r-i-al	gu-ber-na-to-ri-al
lozenge	loz-enge
oral	o-ral
opac-i-ty	o-pac-i-ty
fran-chisee	fran-chi-see
duchy	duch-y
collinear	col-lin-e-ar
dodgem	dodg-em
spunky	spunk-y
frilly	frill-y
dif-fer-ing	differing
hangar	hang-ar
mod-ernism	mod-ern-ism
icon-ic	i-con-ic
causal-ly	caus-al-ly
por-traitist	por-trait-ist
brushy	brush-y
oakum	oa-kum
irid-i-um	i-rid-i-um
ethics	eth-ics
propin-quity	pro-pin-qui-ty
ep-ithe-lial	ep-i-the-li-al
inat-ten-tive	in-at-ten-tive
morale	mo-rale
colonic	co-lon-ic
fash-ion-ably	fash-ion-a-bly
restive	res-tive
singly	sin-gly
pleas-antry	pleas-ant-ry
beanstalk	bean-stalk
wind-surfer	wind-surf-er
para-psy-chol-o-gy	par-a-psy-chol-o-gy
oily	oil-y
steeple-chase	stee-ple-chase
prodi-gal	prod-i-gal
spir-i-tu-al-ism	spir-it-u-al-ism
para-mour	par-a-mour
