Attempt	Real
col-lapsi-ble	col-laps-i-ble
catholic	cath-o-lic
binoc-u-lar	bin-oc-u-lar
pen-i-ten-tiary	pen-i-ten-tia-ry
tele-ol-o-gy	tel-e-ol-o-gy
cowslip	cow-slip
er-bium	er-bi-um
obei-sance	o-bei-sance
avalanche	av-a-lanche
negate	ne-gate
clemen-cy	clem-en-cy
blud-geon	bludg-eon
queasy	quea-sy
capy-bara	cap-y-ba-ra
mossy	mos-sy
tax-able	tax-a-ble
emo-tion-al	e-mo-tion-al
orig-i-na-tion	o-rig-i-na-tion
doc-u-men-tary	doc-u-men-ta-ry
telex	tel-ex
duo	du-o
palace	pal-ace
un-avoid-able	un-a-void-a-ble
poster	post-er
in-ter-dis-ci-pli-nary	in-ter-dis-ci-pli-nar-y
prefer-ably	pref-er-a-bly
ringlet	ring-let
re-tal-ia-to-ry	re-tal-i-a-to-ry
satire	sat-ire
un-print-able	un-print-a-ble
tri-umphal	tri-um-phal
hack-able	hack-a-ble
deluxe	de-luxe
di-ar-rhea	di-ar-rhe-a
un-ac-cept-ably	un-ac-cept-a-bly
moray	mo-ray
con-tention	con-ten-tion
me-dia	me-di-a
shiny	shin-y
tu-to-r-i-al	tu-to-ri-al
shoring	shor-ing
camshaft	cam-shaft
overview	o-ver-view
spinal	spi-nal
thyris-tor	thy-ris-tor
prepo-si-tion	prep-o-si-tion
brunette	bru-nette
cred-it-wor-thy	cred-it-worth-y
froward	fro-ward
drinker	drink-er
in-elas-tic	in-e-las-tic
midlife	mid-life
ne-ma-tode	nem-a-tode
carotene	car-o-tene
rainy	rain-y
ron-dav-el	ron-da-vel
dado	da-do
mim-ic-k-er	mim-ick-er
up-lift-ed	uplifted
gleam-ing	gleaming
over-hang	o-ver-hang
sharp-en-er	shar-pen-er
dig-ni-tary	dig-ni-tar-y
vari-cose	var-i-cose
botanist	bot-a-nist
cos-set-ed	cosseted
merid-ion-al	me-rid-i-o-nal
ar-guably	ar-gu-a-bly
balus-ter	bal-us-ter
unswerv-ing	un-swerv-ing
fifty	fif-ty
tableau	tab-leau
phil-an-thropic	phil-an-throp-ic
un-reach-able	un-reach-a-ble
bedrock	bed-rock
motet	mo-tet
soli-taire	sol-i-taire
cam-era-man	cam-er-a-man
over-see	o-ver-see
sided	sid-ed
je-junum	je-ju-num
para-med-ical	par-a-med-i-cal
boa	bo-a
car-dioid	car-di-oid
tramway	tram-way
neu-ro-science	neu-ro-sci-ence
lethar-gic	le-thar-gic
goulash	gou-lash
scraper	scrap-er
id-io-path-ic	id-i-o-path-ic
tonedeaf	tone-deaf
auto	au-to
guardian	guard-i-an
sto-ry-telling	sto-ry-tell-ing
agent	a-gent
taxi-dermy	tax-i-der-my
elo-quence	el-o-quence
sala-man-der	sal-a-man-der
iso-la-tion-ism	i-so-la-tion-ism
un-avail-ing	un-a-vail-ing
ex-pi-ra-to-ry	ex-pir-a-to-ry
pedes-tri-an	pe-des-tri-an
grad-ual	grad-u-al
med-ical-ly	med-i-cal-ly
wilder-ness	wil-der-ness
de-featist	de-feat-ist
dyad	dy-ad
awash	a-wash
dis-cernible	dis-cern-i-ble
nau-sea	nau-se-a
pharaoh	phar-aoh
cedil-la	ce-dil-la
back-bencher	back-bench-er
roast-ed	roasted
physics	phys-ics
abaft	a-baft
biped	bi-ped
swindler	swin-dler
para-dox-i-cal	par-a-dox-i-cal
syco-phancy	syc-o-phan-cy
mor-phia	mor-phi-a
cleanup	clean-up
ex-i-gency	ex-i-gen-cy
ego-ma-ni-ac	e-go-ma-ni-ac
apiece	a-piece
ri-boflavin	ri-bo-fla-vin
unan-i-mous	u-nan-i-mous
geo-chem-istry	ge-o-chem-is-try
lyri-cist	lyr-i-cist
cornea	cor-ne-a
lithi-um	lith-i-um
rocky	rock-y
sub-servience	sub-ser-vi-ence
ap-praisal	ap-prais-al
supine	su-pine
mod-esty	mod-es-ty
mic-turi-tion	mic-tu-ri-tion
oph-thalmic	oph-thal-mic
stopover	stop-o-ver
com-plaisant	com-plai-sant
mendele-vi-um	men-de-le-vi-um
ma-joli-ca	ma-jol-i-ca
pati-na-tion	pat-i-na-tion
tri-adic	tri-ad-ic
over-ac-tive	o-ver-ac-tive
cara-cal	car-a-cal
drudgery	drudg-er-y
fa-nati-cism	fa-nat-i-cism
pinafore	pin-a-fore
drap-ery	dra-per-y
psy-cho-me-t-ric	psy-cho-met-ric
pho-to-volta-ic	pho-to-vol-ta-ic
pipette	pi-pette
mayfly	may-fly
obelisk	ob-e-lisk
ir-re-solv-able	ir-re-solv-a-ble
mega	meg-a
away	a-way
im-paction	im-pac-tion
aque-ous	a-que-ous
duster	dust-er
puis-sant	pu-is-sant
me-te-o-rol-o-gist	me-te-or-ol-o-gist
foolscap	fools-cap
hooky	hook-y
polygamy	po-lyg-a-my
masochist	mas-och-ist
atom	at-om
gas-troin-testi-nal	gas-tro-in-tes-ti-nal
spi-dery	spi-der-y
spinet	spin-et
re-dis-cov-ery	re-dis-cov-er-y
evoca-tive	e-voc-a-tive
over-anx-ious	o-ver-anx-ious
pur-suance	pur-su-ance
partheno-gen-e-sis	par-the-no-gen-e-sis
in-abil-i-ty	in-a-bil-i-ty
iso-la-tion	i-so-la-tion
megabyte	meg-a-byte
os-teopath	os-te-o-path
em-piri-cism	em-pir-i-cism
blitzkrieg	blitz-krieg
liken	lik-en
arranger	ar-rang-er
colosto-my	co-los-to-my
ave	a-ve
lin-gerie	lin-ge-rie
planter	plant-er
trans-porter	trans-port-er
birdie	bird-ie
ir-repara-ble	ir-rep-a-ra-ble
trencher	trench-er
para-chutist	par-a-chut-ist
sabra	sa-bra
amount	a-mount
tom-fool-ery	tom-fool-er-y
drainage	drain-age
in-ter-op-er-abil-i-ty	in-ter-op-er-a-bil-i-ty
