Attempt	Real
gad-getry	gadg-et-ry
neon	ne-on
dimin-u-en-do	di-min-u-en-do
k-er-nel	ker-nel
re-pro-cess	re-proc-ess
fetishist	fet-ish-ist
s-cis-sors	scis-sors
bodice	bod-ice
quadri-par-tite	quad-ri-par-tite
s-tock-tak-ing	stock-tak-ing
frivol	friv-ol
s-tu-pe-fy	stu-pe-fy
porter-age	por-ter-age
chronome-ter	chro-nom-e-ter
desert	de-sert
im-mov-able	im-mov-a-ble
elec-tron-ic	e-lec-tron-ic
tremu-lous	trem-u-lous
cir-cum-spec-t	cir-cum-spect
over-due	o-ver-due
s-ta-tis-ti-cal	sta-tis-ti-cal
s-tock	stock
s-pank-ing	spank-ing
deco-rum	de-co-rum
s-carce	scarce
y-acht	yacht
car-avel	car-a-vel
bedrid-den	bed-rid-den
wolfhound	wolf-hound
lemur	le-mur
lama	la-ma
bomb-shel-l	bomb-shell
ar-madil-lo	ar-ma-dil-lo
em-broi-dery	em-broi-der-y
en-trench-men-t	en-trench-ment
s-nap	snap
s-tub-by	stub-by
deco-rous	dec-o-rous
idio-syn-crasy	id-i-o-syn-cra-sy
quadru-ply	quad-ru-ply
d-if-fer-en-ti-ate	dif-fer-en-ti-ate
prostaglandin	pros-ta-glan-din
un-sup-port-able	un-sup-port-a-ble
coun-ter-in-tu-itive	coun-ter-in-tu-i-tive
sub-sidy	sub-si-dy
ed-itable	ed-it-a-ble
spir-i-tu-al-ly	spir-it-u-al-ly
plunger	plung-er
taran-tu-la	ta-ran-tu-la
cere-bel-lum	cer-e-bel-lum
in-audi-ble	in-au-di-ble
shekel	shek-el
emet-ic	e-met-ic
un-com-fort-able	un-com-fort-a-ble
bungee	bun-gee
dis-tinc-t	dis-tinct
trac-t	tract
raspy	rasp-y
op-t	opt
repack-age	re-pack-age
coastal	coast-al
hye-na	hy-e-na
byprod-uc-t	by-prod-uct
dol-drum-s	dol-drums
fem-i-nis-m	fem-i-nism
caprice	ca-price
bazaar	ba-zaar
macro-cos-m	mac-ro-cosm
per-fidy	per-fi-dy
parish	par-ish
tribu-la-tion	trib-u-la-tion
stuff-in-g	stuff-ing
hellish	hell-ish
rack-e-teer-ing	rack-et-eer-ing
volatile	vol-a-tile
postage	post-age
s-cuf-f	scuff
fri-ary	fri-ar-y
s-culp-tress	sculp-tress
ovoid	o-void
nico-tine	nic-o-tine
s-cat-ter	scat-ter
un-wrap-s	un-wraps
over-lap	o-ver-lap
s-tock-ist	stock-ist
drea-r	drear
in-su-lan-t	in-su-lant
penal-ty	pen-al-ty
wary	war-y
c-og-nizan-t	cog-ni-zant
im-pa-tien-t	im-pa-tient
cagey	cag-ey
plebiscite	pleb-i-scite
thaw-ing	thawing
un-touch-able	un-touch-a-ble
over-lie	o-ver-lie
kine-mat-ic-s	kin-e-mat-ics
moun-taineer-ing	moun-tain-eer-ing
post-mod-ernist	post-mod-ern-ist
me-te-o-rol-o-gy	me-te-or-ol-o-gy
erup-tive	e-rup-tive
tape-wor-m	tape-worm
unin-sur-able	un-in-sur-a-ble
aviary	a-vi-ar-y
missal	mis-sal
di-atom-ic	di-a-tom-ic
overeat	o-ver-eat
crenel-la-tion-s	cren-el-la-tions
in-di-vid-u-al-is-m	in-di-vid-u-al-ism
cre-ative-ly	cre-a-tive-ly
g-narled	gnarled
racy	rac-y
un-frozen	un-fro-zen
con-fi-den-tial-i-ty	con-fi-den-ti-al-i-ty
ev-ery	eve-ry
skua	sku-a
tril-l	trill
unswerv-ing	un-swerv-ing
petrol-o-gy	pe-trol-o-gy
u-n-adapt-ed	un-a-dapt-ed
hand-picked	handpicked
ban-knote	bank-note
vari-cose	var-i-cose
y-achts-man	yachts-man
emit-ter	e-mit-ter
skir-mish-ing	skirmishing
forest-ed	forested
dis-am-biguate	dis-am-big-u-ate
gua-camole	gua-ca-mo-le
con-fron-t	con-front
macaw	ma-caw
shoplift-ing	shop-lift-ing
ovu-la-tion	ov-u-la-tion
bio-chemist	bi-o-chem-ist
s-tat-uette	stat-u-ette
un-in-tel-li-gen-t	un-in-tel-li-gent
bi-car-bon-ate	bi-car-bo-nate
com-mis-sari-at	com-mis-sar-i-at
avoid-ance	a-void-ance
blur-b	blurb
res-cuer	res-cu-er
in-stan-ta-neous-ly	in-stan-ta-ne-ous-ly
ate-lier	at-el-ier
ren-t	rent
over-draw	o-ver-draw
sug-ary	sug-ar-y
un-fash-ion-able	un-fash-ion-a-ble
vacu-ity	va-cu-i-ty
poly-he-dron	pol-y-he-dron
prophet	proph-et
vial	vi-al
sabra	sa-bra
masochist	mas-och-ist
timetable	time-ta-ble
i-n-ac-ti-va-tion	in-ac-ti-va-tion
in-sup-port-able	in-sup-port-a-ble
fel-l	fell
mono-chrome	mon-o-chrome
in-dica-tive	in-dic-a-tive
ques-tion-able	ques-tion-a-ble
gaudy	gaud-y
de-mo-graph-ic-s	dem-o-graph-ics
s-core	score
hab-er-dash-ery	hab-er-dash-er-y
weed-s	weeds
in-valu-able	in-val-u-a-ble
physic-s	phys-ics
repast	re-past
hal-ibut	hal-i-but
mantra	man-tra
per-tur-b	per-turb
s-trag-gle	strag-gle
ap-pease-men-t	ap-pease-ment
at-tribu-tive	at-trib-u-tive
out-ward-s	out-wards
plain-t	plaint
far-away	far-a-way
re-deemable	re-deem-a-ble
soupy	soup-y
cham-pi-onship	cham-pi-on-ship
read-mis-sion	re-ad-mis-sion
frailty	frail-ty
elec-tro-mo-tive	e-lec-tro-mo-tive
erec-tion	e-rec-tion
fundrais-ing	fund-rais-ing
con-ti-nen-t	con-ti-nent
parental	pa-ren-tal
im-pro-visato-ry	im-pro-vi-sa-to-ry
busi-nesslike	busi-ness-like
ibis	i-bis
u-n-ap-pre-cia-tive	un-ap-pre-ci-a-tive
legume	leg-ume
elec-tron	e-lec-tron
as-besto-sis	as-bes-to-sis
forester	for-est-er
around	a-round
squalid	squal-id
or-tho-doxy	or-tho-dox-y
transcon-ti-nen-tal	trans-con-ti-nen-tal
apol-o-gy	a-pol-o-gy
re-assess	re-as-sess
ure-thane	u-re-thane
re-stroom	rest-room
peren-ni-al-ly	per-en-ni-al-ly
mis-coun-t	mis-count
egress	e-gress
in-ter-preter	in-ter-pret-er
s-ta-tionery	sta-tion-er-y
un-sea-son-able	un-sea-son-a-ble
un-sol-d	un-sold
com-plaisan-t	com-plai-sant
s-tormy	storm-y
dis-ci-plinary	dis-ci-pli-nar-y
mater	ma-ter
repack	re-pack
s-todge	stodge
felo-nious	fe-lo-ni-ous
in-cur-able	in-cur-a-ble
k-lax-on	klax-on
id-io-path-ic	id-i-o-path-ic
for-man-t	for-mant
cou-turi-er	cou-tu-ri-er
dis-cor-dan-t	dis-cord-ant
hon-orif-ic	hon-or-if-ic
for-get-table	for-get-ta-ble
tweedy	tweed-y
s-tand-point	stand-point
bad-minton	bad-min-ton
lilac	li-lac
s-tar-tling	star-tling
syn-onym	syn-o-nym
courtship	court-ship
in-ex-tin-guish-able	in-ex-tin-guish-a-ble
hookah	hook-ah
col-lapsi-ble	col-laps-i-ble
naval	na-val
bean-ery	bean-er-y
un-sur-pass-able	un-sur-pass-a-ble
volt-meter	volt-me-ter
mas-cara	mas-car-a
blankly	blank-ly
aqualung	aq-ua-lung
over-es-ti-mate	o-ver-es-ti-mate
mag-ne-to-hy-dro-dy-nam-ic-s	mag-ne-to-hy-dro-dy-nam-ics
carafe	ca-rafe
leg-isla-tive	leg-is-la-tive
salien-t	sa-li-ent
fu-ner-ary	fu-ner-ar-y
dere-lic-tion	der-e-lic-tion
poseur	po-seur
s-tance	stance
i-conog-ra-phy	i-co-nog-ra-phy
in-dic-t	in-dict
or-biter	or-bit-er
heresy	her-e-sy
au-thor-i-tar-i-an-is-m	au-thor-i-tar-i-an-ism
wafer	wa-fer
es-calade	es-ca-lade
re-al-ness	real-ness
spon-sored	sponsored
hip-popota-mus	hip-po-pot-a-mus
melan-cho-li-a	mel-an-cho-li-a
wel-com-ing	wel-co-ming
recla-ma-tion	rec-la-ma-tion
deu-teri-um	deu-te-ri-um
arch-dio-cese	arch-di-o-cese
ge-neti-cist	ge-net-i-cist
corvette	cor-vette
en-fee-bled	enfeebled
s-low-ness	slow-ness
duo	du-o
sym-bion-t	sym-bi-ont
lentil	len-til
in-di-can-t	in-di-cant
bul-l	bull
erased	e-rased
seis-mome-ter	seis-mom-e-ter
clover	clo-ver
costar	co-star
sonata	so-na-ta
