Attempt	Real
foam-ing	foaming
opos-sum	o-pos-sum
chapel	chap-el
any-how	an-y-how
idio-syn-crat-ic	id-i-o-syn-crat-ic
con-tretemps	con-tre-temps
her-i-ta-ble	her-it-a-ble
porcine	por-cine
quixot-ic	quix-ot-ic
any-body	an-y-bod-y
ashen	ash-en
avoid	a-void
lager	la-ger
legate	leg-ate
fum-bling	fumbling
fu-ner-ary	fu-ner-ar-y
cheery	cheer-y
in-ex-haustible	in-ex-haust-i-ble
mod-icum	mod-i-cum
his-togram	his-to-gram
piglet	pig-let
epi-demi-o-log-i-cal	ep-i-de-mi-o-log-i-cal
telecom-mu-ni-ca-tion	tel-e-com-mu-ni-ca-tion
cere-bel-lum	cer-e-bel-lum
de-for-mi-ty	de-form-i-ty
gospel	gos-pel
binoc-u-lars	bin-oc-u-lars
thau-maturge	thau-ma-turge
homage	hom-age
sus-pend-ed	sus-pen-ded
coy-ote	coy-o-te
walkover	walk-o-ver
ini-tia-tive	in-i-ti-a-tive
aver-sion	a-ver-sion
even-song	e-ven-song
soli-tude	sol-i-tude
viper	vi-per
ax-il-lary	ax-il-lar-y
crier	cri-er
cur-able	cur-a-ble
para-mount-cy	par-a-mount-cy
morass	mo-rass
ex-porta-bil-i-ty	ex-por-ta-bi-li-ty
furtive	fur-tive
tanker	tank-er
rose-mary	rose-mar-y
bribery	brib-er-y
table-ware	ta-ble-ware
markup	mark-up
evac-uee	e-vac-u-ee
un-usu-al-ly	un-u-su-al-ly
pun-ish-able	pun-ish-a-ble
fore-see-able	fore-see-a-ble
fo-liage	fo-li-age
thievish	thiev-ish
trusty	trust-y
emer-ald	em-er-ald
alarm-ing	a-larm-ing
steadi-ness	stead-i-ness
broadsword	broad-sword
nightin-gale	night-in-gale
shady	shad-y
prodi-gious	pro-di-gious
naked-ness	na-ked-ness
pesti-lence	pes-ti-lence
perime-ter	pe-rim-e-ter
stereo-typ-i-cal	ster-e-o-typ-i-cal
mnemon-ics	mne-mon-ics
pro-pri-etress	pro-pri-e-tress
colour	co-lour
sacro-sanct	sac-ro-sanct
twofold	two-fold
dogged	dog-ged
tele-pho-to	tel-e-pho-to
har-mo-nious	har-mo-ni-ous
sim-per-ing	simpering
horsey	hors-ey
promi-nence	prom-i-nence
slalom	sla-lom
gener-ic	ge-ner-ic
loader	load-er
pol-lard-ed	pollarded
veni-son	ven-i-son
tru-cu-lent	truc-u-lent
co-rian-der	co-ri-an-der
pe-trel	pet-rel
frothy	froth-y
