Attempt	Real
je-o-pard-y	jeop-ard-y
coas-t-er	coast-er
repre-hend	rep-re-hend
ven-geance	venge-ance
withering	with-er-ing
stoi-cal	sto-i-cal
re-mo-val	re-mov-al
wa-terbed	wa-ter-bed
eas-tern-most	east-ern-most
sea-so-nal-i-ty	sea-son-al-i-ty
wi-dowhood	wid-ow-hood
so-b-er-ly	so-ber-ly
lan-der	land-er
rec-ti-fier	rec-ti-fi-er
tsun-a-mi	tsu-na-mi
re-min-der	re-mind-er
beat-i-fy	be-at-i-fy
dan-cer	danc-er
en-gend-er	en-gen-der
or-ang	o-rang
fril-lier	fril-li-er
askance	a-skance
un-en-crypted	un-en-crypt-ed
u-n-i-fy	u-ni-fy
ge-nu-ine-ly	gen-u-ine-ly
bu-re-au-crat-ic	bu-reau-crat-ic
chint-zy	chintz-y
car-ci-n-o-gen-ic	car-cin-o-gen-ic
straitened	strait-ened
isolat-ing	i-so-lat-ing
ni-co-tine	nic-o-tine
u-n-i-ver-sal	u-ni-ver-sal
a-va-ri-cious	av-a-ri-cious
dare-devil	dare-dev-il
gi-g-o-lo	gig-o-lo
des-cent	de-scent
fath-er-ly	fa-ther-ly
neu-ro-sur-ge-on	neu-ro-sur-geon
glor-i-fy	glo-ri-fy
aor-ta	a-or-ta
em-brasure	em-bra-sure
ben-e-fi-ciar-y	ben-e-fi-ci-ar-y
pad-ded	padded
broken	bro-ken
in-cor-ri-g-i-ble	in-cor-ri-gi-ble
re-lict	rel-ict
ma-tins	mat-ins
ex-pec-tant-ly	ex-pect-ant-ly
sain-thood	saint-hood
pro-l-on-ga-tion	pro-lon-ga-tion
tan-gy	tang-y
butler	but-ler
who-du-nit	who-dun-it
mete-o-rite	me-te-or-ite
tre-men-d-ous	tre-men-dous
a-ver-age	av-er-age
sal-mon	salm-on
che-eri-o	cheer-i-o
betro-thal	be-troth-al
fa-mine	fam-ine
manure	ma-nure
chid-ing	chiding
thrifty	thrift-y
iso-lat-ed	i-so-lat-ed
seven-teenth	sev-en-teenth
glut-to-ny	glut-ton-y
cap-a-ble	ca-pa-ble
pal-u-dal	pa-lu-dal
so-cioe-co-nom-ic	so-ci-o-ec-o-nom-ic
mag-ne-tite	mag-net-ite
fe-l-on	fel-on
mes-siah	mes-si-ah
sta-p-ler	sta-pler
sterl-ing	ster-ling
log-a-r-ith-mic	log-a-rith-mic
he-ret-ic	her-e-tic
un-devel-oped	un-de-vel-oped
ca-pri-ole	cap-ri-ole
hairdress-ing	hair-dress-ing
wes-tern	west-ern
pi-ran-ha	pi-ra-nha
per-ime-ter	pe-rim-e-ter
pi-q-uan-cy	pi-quan-cy
a-per-ture	ap-er-ture
nor-thern-most	north-ern-most
un-dec-or-at-ed	un-dec-o-rat-ed
trans-finite	trans-fi-nite
gleam-ing	gleaming
in-spec-to-rate	in-spec-tor-ate
whimp-er	whim-per
mue-sli	mues-li
re-vel-ry	rev-el-ry
ce-lan-dine	cel-an-dine
levelhead-ed	lev-el-head-ed
gos-sa-m-er	gos-sa-mer
gol-fer	golf-er
wai-tress	wait-ress
pal-mis-try	palm-is-try
co-l-on	co-lon
in-ter-ro-ga-tive	in-ter-rog-a-tive
pre-de-ter-mined	predetermined
te-tra	tet-ra
fuel	fu-el
pauper	pau-per
met-a-lan-gu-age	met-a-lan-guage
faul-ty	fault-y
dis-com-fort-ing	discomforting
whee-lie	wheel-ie
se-rif	ser-if
ne-ver-the-less	nev-er-the-less
pre-dic-ta-bil-i-ty	pre-dict-a-bil-i-ty
par-a-chu-tist	par-a-chut-ist
car-ouse	ca-rouse
authoring	au-thor-ing
face-lift	facelift
un-bu-ried	un-bur-ied
in-teg-ra-tive	in-te-gra-tive
pros-ce-ni-um	pro-sce-ni-um
mis-nom-er	mis-no-mer
un-sub-stan-tiat-ed	un-sub-stan-ti-at-ed
tran-sves-tite	trans-ves-tite
foray	for-ay
con-volut-ed	con-vo-lut-ed
in-debted-ness	in-debt-ed-ness
pream-ble	pre-am-ble
gloat-ing	gloating
cat-er	ca-ter
ir-re-sisti-ble	ir-re-sist-i-ble
yearling	year-ling
codex	co-dex
anx-ie-ty	anx-i-e-ty
fran-k-in-cense	frank-in-cense
con-temp-ti-ble	con-tempt-i-ble
edi-fi-ca-tion	ed-i-fi-ca-tion
dudg-e-on	dudg-eon
no-sy	nos-y
cus-tody	cus-to-dy
cal-la-ble	call-a-ble
ep-o-chal	ep-och-al
fri-ca-tive	fric-a-tive
sphinc-t-er	sphinc-ter
tu-telage	tu-te-lage
wa-t-er	wa-ter
bet-ween	be-tween
ex-ecu-tor	ex-ec-u-tor
learned	learn-ed
lumpen	lum-pen
ga-te-au	ga-teau
genoc-i-dal	gen-o-cid-al
hol-i-ness	ho-li-ness
mani-ac	ma-ni-ac
