Attempt	Real
micro-organ-ism	mi-cro-or-gan-ism
howdy	how-dy
pari-ah	pa-ri-ah
blitzkrieg	blitz-krieg
s-tud	stud
c-on-cil-iar	con-cil-i-ar
trust-ed	trusted
i-n-escapably	in-es-cap-a-bly
sher-if-f	sher-iff
dullard	dull-ard
ca-su-istry	cas-u-ist-ry
syl-labub	syl-la-bub
s-nif-f	sniff
ev-ery-day	eve-ry-day
p-re-sen-ter	pre-sent-er
s-lot	slot
ir-rel-e-van-t	ir-rel-e-vant
man-dolin	man-do-lin
l-itur-gi-cal	li-tur-gi-cal
con-tention	con-ten-tion
os-teopa-thy	os-te-op-a-thy
phys-io-ther-a-py	phys-i-o-ther-a-py
ether	e-ther
para-m-ag-net-ic	par-a-mag-net-ic
school-teacher	school-teach-er
co-in-ci-den-t	co-in-ci-dent
c-ityscape	cit-y-scape
wormy	worm-y
s-tock-ing	stock-ing
un-du-lat-ing	un-du-la-ting
fish-ery	fish-er-y
s-lim-line	slim-line
s-nipe	snipe
un-fore-see-able	un-fore-see-a-ble
fruiter	fruit-er
u-n-awak-ened	un-a-wak-ened
ex-ocrine	ex-o-crine
a-vian	a-vi-an
hobo	ho-bo
idyl-l	i-dyll
un-elect-ed	un-e-lect-ed
s-loop	sloop
quater-nion	qua-ter-ni-on
wis-p	wisp
mono-phon-ic	mon-o-phon-ic
de-fend-ing	defending
pecan	pe-can
re-cal-ci-tran-t	re-cal-ci-trant
scenery	scen-er-y
roundel	roun-del
gam-bling	gam-bling
night-fal-l	night-fall
ar-guable	ar-gu-a-ble
barom-e-ter	ba-rom-e-ter
glas-nos-t	glas-nost
pro-trac-t	pro-tract
dis-en-fran-chise-men-t	dis-en-fran-chise-ment
u-n-am-bigu-ous	un-am-big-u-ous
item	i-tem
in-hala-tion	in-ha-la-tion
calorime-ter	cal-o-rim-e-ter
wapi-ti	wap-i-ti
ranger	rang-er
mul-ti-pro-cess-ing	mul-ti-proc-ess-ing
sub-jec-tivis-m	sub-jec-tiv-ism
k-ing	king
l-it-mus	lit-mus
in-fla-tion-ary	in-fla-tion-ar-y
fel-la-tio	fel-la-ti-o
tram-p	tramp
preva-lence	prev-a-lence
medal	med-al
con-sumerist	con-sum-er-ist
im-per-me-able	im-per-me-a-ble
lachry-mose	lach-ry-mose
salience	sa-li-ence
poly-atom-ic	pol-y-a-tom-ic
an-tibi-ot-ic	an-ti-bi-ot-ic
penin-su-lar	pen-in-su-lar
s-nuf-fle	snuf-fle
carotene	car-o-tene
gra-tu-ity	gra-tu-i-ty
ini-tial	in-i-tial
un-pre-dictabil-i-ty	un-pre-dict-a-bil-i-ty
s-ketch-book	sketch-book
enor-mous-ly	e-nor-mous-ly
aback	a-back
mi-di	mid-i
shandy	shan-dy
unglam-orous	un-glam-or-ous
me-te-oric	me-te-or-ic
b-land-ly	bland-ly
poli-ty	pol-i-ty
serai	se-ra-i
far-away	far-a-way
lyrist	lyr-ist
s-tan-dard	stand-ard
ra-j	raj
neu-ronal	neu-ron-al
com-fort-able	com-fort-a-ble
bud-get	budg-et
eye-d	eyed
wimpy	wimp-y
sali-vate	sal-i-vate
whistler	whis-tler
phonon	pho-non
hexagon	hex-a-gon
n-ev-er	nev-er
i-n-ac-tiv-i-ty	in-ac-tiv-i-ty
bereft	be-reft
hairy	hair-y
knol-l	knoll
re-mark-able	re-mark-a-ble
odome-ter	o-dom-e-ter
data-base	da-ta-base
talon	tal-on
may-oral	may-or-al
over-weight	o-ver-weight
